,T,n_h1/n_h,Pressure,Internal_Energy,Specific_Heat
,9200,0.2985536111,985.904735467,5366.8349802404,3694675654.77255
,9300,0.3240147033,1016.1621108143,5743.7935295007,3842304899.60395
,9400,0.3504229235,1047.5744463779,6134.8186949827,3975606290.31368
,9500,0.3776661175,1080.0772629669,6538.3532065125,4092053390.58294
,9600,0.4056147717,1113.5886261709,6952.5875424592,4189250313.91219
,9700,0.4341242395,1148.0102125915,7375.490527883,4265023920.89723
,9800,0.4630353036,1183.227139897,7804.8163977004,4317505443.23591
,9900,0.4921786435,1219.1110157668,8238.1675526426,4345228462.92182
,10000,0.5213755149,1255.520081296,8673.0036157924,4347200079.00094
,10100,0.5504443109,1292.3042915328,9106.7345074471,4322979588.6889
,10200,0.5792016519,1329.3061142987,9536.7358289228,4272719641.83616
,10300,0.6074684382,1366.3656020551,9960.435295383,4197196109.07171
,10400,0.6350742792,1403.3243697432,10375.3763800235,4097800915.37922
,10500,0.6618609247,1440.0289277295,10779.2680030488,3976504236.28065
,10600,0.6876856733,1476.3341640011,11170.0341368153,3835787691.99306
,10700,0.7124254497,1512.1075862714,11545.8732692227,3678545351.41301
,10800,0.7359793012,1547.2323566381,11905.2954634902,3507961545.0675
,10900,0.7582692723,1581.608991569,12247.1363040266,3327379027.96132
,11000,0.7792401745,1615.1561013473,12570.555000298,3140168028.45356
,11100,0.7988611755,1647.8127858418,12875.0586846811,2949584348.34044
,11200,0.8171228874,1679.5369475497,13160.4619534085,2758665074.92306
,11300,0.8340360589,1710.3049572234,13426.8693389123,2570133752.48137
,11400,0.8496294097,1740.1104475525,13674.6453005989,2386333040.45479
,11500,0.8639457542,1768.9613755666,13904.3593334563,2209198856.86017
,11600,0.8770400617,1796.8787473022,14116.7587942333,2040242024.5384
,11700,0.8889759074,1823.8936929854,14312.7183015668,1880567871.00742
,11800,0.8998231727,1850.0455821651,14493.206953203,1730902560.0793
,11900,0.9096552422,1875.3795318371,14659.2480936704,1591639682.73853
,12000,0.9185467748,1899.9443431036,14811.8871848265,1462891367.22564
,12100,0.9265724235,1923.7912757099,14952.1733001533,1344534124.92654
,12200,0.933804887,1946.9720861634,15081.1308088326,1236265808.3739
,12300,0.9403141719,1969.5381981808,15199.7485232161,1137647969.15619
,12400,0.9461666022,1991.539577929,15308.9651116001,1048149692.69156
,12500,0.951424421,2013.0241709612,15409.6630636956,967181017.468058
,12600,0.9561455627,2034.0374975726,15502.6651249332,894120562.699639
,12700,0.9603833806,2054.6221890129,15588.7300469387,828340132.941515
,12800,0.9641868494,2074.8180125048,15668.5552639813,769219393.235131
,12900,0.9676005293,2094.6616521943,15742.7760949423,716160446.00259
,13000,0.9706648662,2114.1868495771,15811.969869727,668594961.311068
,13100,0.9734164867,2133.4245520874,15876.6599868972,625988894.36202
