,T,n_h1/n_h,n_he1/n_he,n_he2/n_he,n_c1/n_c,n_c2/n_c,n_n1/n_n,n_n2/n_n,n_o1/n_o,n_o2/n_o,ionization_energy
,54600,0.9999997062,0.0017175622,0.9982824365,8.78010688684357E-006,0.9999912199,6.56130090698158E-006,0.9999934387,3.21839163913794E-006,0.9999967816,8002609713491240
,54700,0.9999997086,0.0016770927,0.998322906,8.67350790837781E-006,0.9999913265,6.46851236274578E-006,0.9999935315,3.16608472224729E-006,0.9999968339,8002660582964600
,54800,0.9999997109,0.0016377093,0.9983622894,8.56854095111543E-006,0.9999914315,6.37733462209227E-006,0.9999936227,3.114798133275E-006,0.9999968852,8002710087481120
,54900,0.9999997132,0.00159938,0.9984006189,8.46517826638501E-006,0.9999915348,6.28773641674872E-006,0.9999937123,3.06450961202837E-006,0.9999969355,8002758267357360
,55000,0.9999997154,0.0015620727,0.9984379262,8.36338807355935E-006,0.9999916366,6.199683773097E-006,0.9999938003,3.01519579124406E-006,0.9999969848,8002805162687820
,55100,0.9999997177,0.0015257575,0.9984742414,8.26314382651194E-006,0.9999917369,6.11314689352763E-006,0.9999938869,2.96683554721286E-006,0.9999970332,8002850811177330
,55200,0.9999997199,0.0014904049,0.9985095941,8.16441694160321E-006,0.9999918356,6.02809474454739E-006,0.9999939719,2.91940735444504E-006,0.9999970806,8002895249912160
,55300,0.9999997221,0.0014559864,0.9985440126,8.06718007368273E-006,0.9999919328,5.94449748201923E-006,0.9999940555,2.87289046127792E-006,0.9999971271,8002938514623300
,55400,0.9999997243,0.0014224745,0.9985775245,7.97140644454286E-006,0.9999920286,5.86232594450135E-006,0.9999941377,2.82726463674932E-006,0.9999971727,8002980639884730
,55500,0.9999997264,0.0013898428,0.9986101563,7.87707043208807E-006,0.9999921229,5.7815520779588E-006,0.9999942184,2.78251036891367E-006,0.9999972175,8003021659020410
,55600,0.9999997286,0.0013580652,0.9986419339,7.78414513922894E-006,0.9999922159,5.70214714305646E-006,0.9999942979,2.73860799573975E-006,0.9999972614,8003061604680780
,55700,0.9999997307,0.001327117,0.9986728821,7.69260660702009E-006,0.9999923074,5.62408480115174E-006,0.9999943759,2.69553918510468E-006,0.9999973045,8003100507942170
,55800,0.9999997328,0.0012969739,0.9987030252,7.60242959432237E-006,0.9999923976,5.547338010469E-006,0.9999944527,2.65328543591937E-006,0.9999973467,8003138399274250
,55900,0.9999997348,0.0012676127,0.9987323865,7.51358996655632E-006,0.9999924864,5.47188077168388E-006,0.9999945281,2.61182891247297E-006,0.9999973882,8003175308044290
,56000,0.9999997369,0.0012390106,0.9987609886,7.42606408171724E-006,0.9999925739,5.39768767066963E-006,0.9999946023,2.57115221923337E-006,0.9999974288,8003211262684200
,56100,0.9999997389,0.0012111459,0.9987888534,7.33982933139134E-006,0.9999926602,5.32473426448298E-006,0.9999946753,2.53123857928481E-006,0.9999974688,8003246290608320
,56200,0.9999997409,0.0011839972,0.9988160021,7.25486245706208E-006,0.9999927451,0.000005253,0.999994747,2.49207124432111E-006,0.9999975079,8003280418593730
,56300,0.9999997428,0.0011575441,0.9988424552,7.17114176489917E-006,0.9999928289,5.18244907664654E-006,0.9999948176,2.45363425240924E-006,0.9999975464,8003313672346130
,56400,0.9999997448,0.0011317665,0.9988682328,7.08864439222698E-006,0.9999929114,5.11306994010031E-006,0.9999948869,2.4159114814727E-006,0.9999975841,8003346077087330
,56500,0.9999997467,0.0011066455,0.9988933539,7.00735058420264E-006,0.9999929926,5.04483688751017E-006,0.9999949552,2.3788881047724E-006,0.9999976211,8003377656714550
,56600,0.9999997486,0.001082162,0.9989178374,6.92723783977859E-006,0.9999930728,4.97772657655555E-006,0.9999950223,2.34254858656118E-006,0.9999976575,8003408435003340
,56700,0.9999997505,0.0010582982,0.9989417012,6.84828670094913E-006,0.9999931517,4.91171804584442E-006,0.9999950883,2.30687864640372E-006,0.9999976931,8003438434473240
,56800,0.9999997524,0.0010350365,0.9989649629,6.77047706178687E-006,0.9999932295,4.84679004953031E-006,0.9999951532,2.27186399686109E-006,0.9999977281,8003467677147650
,56900,0.9999997543,0.0010123599,0.9989876395,6.69378872441696E-006,0.9999933062,4.78292145655173E-006,0.9999952171,2.23749052987892E-006,0.9999977625,8003496184459200
,57000,0.9999997561,0.000990252,0.9990097474,6.61820239681785E-006,0.9999933818,4.72009196050208E-006,0.9999952799,2.20374464600007E-006,0.9999977963,8003523977078530
,57100,0.9999997579,0.0009686969,0.9990313025,6.54370012875642E-006,0.9999934563,4.65828238161172E-006,0.9999953417,2.17061338964145E-006,0.9999978294,8003551074859070
,57200,0.9999997597,0.0009476791,0.9990523204,6.47026239946022E-006,0.9999935297,4.59747258628606E-006,0.9999954025,2.13808347483189E-006,0.9999978619,8003577497402410
,57300,0.9999997615,0.0009271835,0.999072816,6.39787104020985E-006,0.9999936021,4.53764356811945E-006,0.9999954624,2.10614225393412E-006,0.9999978939,8003603263526010
,57400,0.9999997633,0.0009071958,0.9990928037,6.32650915994628E-006,0.9999936735,4.47877738421624E-006,0.9999955212,2.07477768152759E-006,0.9999979252,8003628391304730
,57500,0.999999765,0.0008877018,0.9991122978,6.25615789841607E-006,0.9999937438,4.42085485047014E-006,0.9999955791,0.000002044,0.999997956,8003652898676410
,57600,0.9999997667,0.0008686879,0.9991313117,6.18680149798917E-006,0.9999938132,4.36385912973654E-006,0.9999956361,2.01372961246901E-006,0.9999979863,8003676802542010
,57700,0.9999997684,0.0008501408,0.9991498587,6.11842225465203E-006,0.9999938816,4.30777215502101E-006,0.9999956922,0.000001984,0.999998016,8003700119689740
,57800,0.9999997701,0.0008320478,0.9991679518,0.000006051,0.999993949,4.25257719041702E-006,0.9999957474,1.95484631707122E-006,0.9999980452,8003722866162750
,57900,0.9999997718,0.0008143964,0.9991856032,5.98453144934505E-006,0.9999940155,4.19825784605925E-006,0.9999958017,1.92618874319249E-006,0.9999980738,8003745057523930
,58000,0.9999997735,0.0007971744,0.9992028251,0.000005919,0.999994081,4.14479688340455E-006,0.9999958552,0.000001898,0.999998102,8003766709158510
,58100,0.9999997751,0.0007803704,0.9992196292,5.85435664920721E-006,0.9999941456,4.0921792198541E-006,0.9999959078,1.87038749858296E-006,0.9999981296,8003787835554610
,58200,0.9999997767,0.0007639728,0.9992360269,5.79062422355931E-006,0.9999942094,4.04038861956714E-006,0.9999959596,1.84322329754853E-006,0.9999981568,8003808451121440
,58300,0.9999997783,0.0007479706,0.999252029,5.72777564403573E-006,0.9999942722,3.98941034729815E-006,0.9999960106,1.81653683463683E-006,0.9999981835,8003828569561030
,58400,0.9999997799,0.0007323533,0.9992676464,5.66579543665257E-006,0.9999943342,3.9392288404767E-006,0.9999960608,1.7903181014695E-006,0.9999982097,8003848204436150
,58500,0.9999997815,0.0007171104,0.9992828893,5.60467003584812E-006,0.9999943953,3.88982998638574E-006,0.9999961102,1.76455783095214E-006,0.9999982354,8003867368642690
,58600,0.9999997831,0.0007022318,0.9992977679,5.54438454486022E-006,0.9999944556,3.84119886444016E-006,0.9999961588,1.73924646778791E-006,0.9999982608,8003886074950940
,58700,0.9999997846,0.0006877078,0.9993122919,5.48492553457323E-006,0.9999945151,3.79332168850973E-006,0.9999962067,1.71437504870311E-006,0.9999982856,8003904335562870
,58800,0.9999997861,0.0006735289,0.9993264708,5.42627981799004E-006,0.9999945737,3.74618495043523E-006,0.9999962538,1.68993481030782E-006,0.9999983101,8003922162324160
,58900,0.9999997876,0.000659686,0.9993403137,5.36843331881474E-006,0.9999946316,3.69977463743052E-006,0.9999963002,1.66591683459617E-006,0.9999983341,8003939566909570
,59000,0.9999997891,0.0006461701,0.9993538296,5.31137373495256E-006,0.9999946886,3.65407806847464E-006,0.9999963459,1.64231287546853E-006,0.9999983577,8003956560416930
,59100,0.9999997906,0.0006329725,0.9993670272,5.25508787422706E-006,0.9999947449,3.6090820525522E-006,0.9999963909,1.61911452604783E-006,0.9999983809,8003973153792470
,59200,0.9999997921,0.0006200849,0.9993799148,5.19956280526483E-006,0.9999948004,3.56477368170962E-006,0.9999964352,1.59631357503618E-006,0.9999984037,8003989357659200
,59300,0.9999997936,0.0006074991,0.9993925007,5.14478692036751E-006,0.9999948552,3.52114105565322E-006,0.9999964789,1.57390232856992E-006,0.9999984261,8004005182168640
,59400,0.999999795,0.0005952071,0.9994047926,5.09074810217807E-006,0.9999949093,3.47817202010349E-006,0.9999965218,1.55187304236338E-006,0.9999984481,8004020637287440
,59500,0.9999997964,0.0005832013,0.9994167985,5.03743376584546E-006,0.9999949626,3.4358541973643E-006,0.9999965641,1.53021793555182E-006,0.9999984698,8004035732794500
,59600,0.9999997978,0.0005714741,0.9994285256,4.98483295457734E-006,0.9999950152,3.39417641472481E-006,0.9999966058,1.50892982581062E-006,0.9999984911,8004050477982280
,59700,0.9999997992,0.0005600184,0.9994399814,4.93293387809695E-006,0.9999950671,3.35312702062127E-006,0.9999966469,0.000001488,0.999998512,8004064882026440
,59800,0.9999998006,0.000548827,0.9994511728,4.88172530995385E-006,0.9999951183,3.3126948365596E-006,0.9999966873,1.46742551959611E-006,0.9999985326,8004078953788660
,59900,0.999999802,0.0005378931,0.9994621066,4.83119623145401E-006,0.9999951688,3.27286891155121E-006,0.9999967271,1.4471953443235E-006,0.9999985528,8004092701876620
,60000,0.9999998034,0.0005272102,0.9994727896,4.78133647794253E-006,0.9999952187,3.23363895694619E-006,0.9999967664,1.42730428765301E-006,0.9999985727,8004106134561640
